date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:58	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5bc3efb0-66b96a426bec1b9f;;;%22	https://igsosana.org/robots.txt		(from )
23:09:01	173597/173597	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2022:09:00%20GMT	https://igsosana.org/	C:/My%20Web%20Sites/igsosana/igsosana.org/index.html	(from )
23:09:01	17380/17380	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/igsosana/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://igsosana.org/)
23:09:02	58171/58171	---M-Z	200	added ('OK')	text/css	etag:%22e33b-60781329-28c79787643e22a7;gz%22	https://igsosana.org/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-includes/css/dist/block-library/style.min9f31.css	(from https://igsosana.org/)
23:09:03	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22a9a-6058bd4b-78ff3e879129d512;gz%22	https://igsosana.org/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-includes/css/dist/block-library/theme.min9f31.css	(from https://igsosana.org/)
23:09:03	18339/18339	---M-Z	200	added ('OK')	text/css	etag:%2247a3-60d9a0ef-48f3b4b528671041;gz%22	https://igsosana.org/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/extension.min.css?ver=6.3.76	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/piotnet-addons-for-elementor-pro/assets/css/minify/extension.min5d0f.css	(from https://igsosana.org/)
23:09:04	3854/3854	---M-Z	200	added ('OK')	text/css	etag:%22f0e-60ca785d-62da4c72ee01f690;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.2.5	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/css/frontend-legacy.min2072.css	(from https://igsosana.org/)
23:09:05	733/733	---M--	200	added ('OK')	application/rss+xml	etag:%22d3c4672865c0a417031d9b6f566552db%22	https://igsosana.org/comments/feed/	C:/My%20Web%20Sites/igsosana/igsosana.org/comments/feed/index.html	(from https://igsosana.org/)
23:09:05	117828/117828	---M-Z	200	added ('OK')	text/css	etag:%221cc44-60ca785c-5c54fbf0602de3aa;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.2.5	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/css/frontend.min2072.css	(from https://igsosana.org/)
23:09:05	816/816	---M-Z	200	added ('OK')	text/css	etag:%22330-60d8aab7-f53f3e41376d887b;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-1830.css?ver=1624812215	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-183058bc.css	(from https://igsosana.org/)
23:09:05	39396/39396	---MC-	200	added ('OK')	application/rss+xml	etag:%227770932eb06785a0128483dfe84769a1%22	https://igsosana.org/feed/	C:/My%20Web%20Sites/igsosana/igsosana.org/feed/index.html	(from https://igsosana.org/)
23:09:05	191420/191420	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222ebbc-60ca7858-315948f4457870a5;;;%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://igsosana.org/)
23:09:06	1304/1304	---M-Z	200	added ('OK')	text/css	etag:%22518-60d8aab7-ff6135ef33f6566a;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-1840.css?ver=1624812215	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-184058bc.css	(from https://igsosana.org/)
23:09:06	15323/15323	---M-Z	200	added ('OK')	text/css	etag:%223bdb-60d8aab7-3247f7921eff457c;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-716.css?ver=1624812215	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-71658bc.css	(from https://igsosana.org/)
23:09:06	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-60d30a52-67e7f851040b9872;gz%22	https://igsosana.org/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from https://igsosana.org/)
23:09:06	10927/10927	---M-Z	200	added ('OK')	text/css	etag:%222aaf-60d30a54-f524be52357847bf;gz%22	https://igsosana.org/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://igsosana.org/)
23:09:07	5235/5235	---M-Z	200	added ('OK')	text/css	etag:%221473-60d30a54-4fa76f6b9300f69e;gz%22	https://igsosana.org/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from https://igsosana.org/)
23:09:07	17232/17232	---M-Z	200	added ('OK')	text/css	etag:%224350-60ca7858-8aeaa8d4bc0171ac;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://igsosana.org/)
23:09:07	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-60ca785c-f5bd6415621a445d;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.2.5	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/animations/animations.min2072.css	(from https://igsosana.org/)
23:09:07	1079/1079	---M-Z	200	added ('OK')	text/css	etag:%22437-60d8aab7-fb50b485ed176d5e;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-1528.css?ver=1624812215	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-152858bc.css	(from https://igsosana.org/)
23:09:08	242329/242329	---M-Z	200	added ('OK')	text/css	etag:%223b299-60d8a691-94bf97a17821c77b;gz%22	https://igsosana.org/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.3.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor-pro/assets/css/frontend.min3d36.css	(from https://igsosana.org/)
23:09:08	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-60ca785a-4183f97de4fff7c6;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.2.5	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min2072.css	(from https://igsosana.org/)
23:09:08	608038/608038	---M-Z	200	added ('OK')	text/css	etag:%2294726-60c927cc-2d0c79b8875222e3;gz%22	https://igsosana.org/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css?ver=1.32.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min86af.css	(from https://igsosana.org/)
23:09:09	53602/53602	---M-Z	200	added ('OK')	text/css	etag:%22d162-60d8aab7-bcda190e182286f2;gz%22	https://igsosana.org/wp-content/uploads/elementor/css/post-7.css?ver=1624812215	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/elementor/css/post-758bc.css	(from https://igsosana.org/)
23:09:09	144134/144134	---M-Z	200	added ('OK')	text/css	etag:%2223306-606e7d00-46eb698c2315bfbc;gz%22	https://igsosana.org/wp-content/uploads/oceanwp/main-style.css?ver=2.1.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/uploads/oceanwp/main-stylee1fc.css	(from https://igsosana.org/)
23:09:09	1985/1985	---M-Z	200	added ('OK')	text/css	etag:%227c1-5bc3efc6-d63c084fae7df76f;gz%22	https://igsosana.org/wp-content/plugins/ocean-cookie-notice/assets/css/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ocean-cookie-notice/assets/css/style.min9f31.css	(from https://igsosana.org/)
23:09:09	53941/53941	---M-Z	200	added ('OK')	text/css	etag:%22d2b5-60d30a39-a5cdb0490fa721f1;gz%22	https://igsosana.org/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ocean-extra/assets/css/widgets9f31.css	(from https://igsosana.org/)
23:09:10	10422/10422	---M-Z	200	added ('OK')	text/css	etag:%2228b6-5bc3efdc-5cc9bdd9b5d80c62;gz%22	https://igsosana.org/wp-content/plugins/ocean-portfolio/assets/css/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ocean-portfolio/assets/css/style.min9f31.css	(from https://igsosana.org/)
23:09:10	6087/6087	---M-Z	200	added ('OK')	text/css	etag:%2217c7-60547942-88297c64f5733586;gz%22	https://igsosana.org/wp-content/plugins/ocean-social-sharing/assets/css/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ocean-social-sharing/assets/css/style.min9f31.css	(from https://igsosana.org/)
23:09:10	8392/8392	---M-Z	200	added ('OK')	text/css	etag:%2220c8-5bc3efca-7f7a60c83c546de5;gz%22	https://igsosana.org/wp-content/plugins/ocean-sticky-header/assets/css/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/ocean-sticky-header/assets/css/style.min9f31.css	(from https://igsosana.org/)
23:09:10	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-60ca785a-7a9b2132d03c49e0;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min9e0b.css	(from https://igsosana.org/)
23:09:11	675/675	---M-Z	200	added ('OK')	text/css	etag:%222a3-60ca785a-c28525d772eca021;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min9e0b.css	(from https://igsosana.org/)
23:09:11	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-60ca785a-c11c3892dfa0228e;gz%22	https://igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1	C:/My%20Web%20Sites/igsosana/igsosana.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min9e0b.css	(from https://igsosana.org/)
